Menu,תַפרִיט
My Account,החשבון שלי
Cart, סל קניות
Contact , צ'אט אונליין
Newsletter,הקפה עליכם, העדכונים עלינו!
Send,שלח
My email, המייל שלי...
Profile,החשבון שלי
Order Now,לרכישה מהירה
Your Filters, סינון
Full Description, לפרטים נוספים
Select your quantity, בחירת כמות
Extra information, עוד מידע
No,לא
yes,כן
OK,אישור
Cancel,ביטול
"quick view","מבט חטוף"
logout, להתנתק
Store pickup,איסוף מהחנות
Selected flavours, טעמים נבחרים
"You added %1 to your shopping cart","%1 נוספו בהצלחה לסל הקניות"
"View cart &amp; checkout","מעבר לתשלום"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר את הפריט מסל הקניות?"
"Selected items have been added to your cart.","המוצרים נוספו בהצלחה לסל הקניות"
"Free gift <strong>%1</strong> was added to your shopping cart","מוצר במתנה נוסף לסל הקניות"
"Quick view", "מבט חטוף"
"Your coupon was successfully removed.","הקופון בוטל בהצלחה"
"Your coupon was successfully applied.","הקופון הופעל בהצלחה"
"Cancel coupon","ביטול קופון"
"Please specify a valid 10 digits mobile number","נא הזן מספר טלפון תקין ללא מקף"
"Full Name","שם מלא"
"Phone","טלפון"
"Business name","שם העסק"
"AREA","אזור"
Afh Email,אימייל
"Submit","שלח"
"FINISH","המשך לסל הקניות"
"Are you sure you want to delete this address?","האם אתה בטוח שברצונך למחוק כתובת זו?"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר את הפריט מסל הקניות?"
"Please enter the same value again.","ש להזין את אותם התווים"
"You've selected %1 of %2 boxes","בחרת %1 מארזים מתוך %2"
"Continue to Cart","יש, סיימת! מעבר לסל הקניות"
"You typed incorrect characters, please try again","הזנת התווים בשדה זה אינה מדויקת, אנא הזינו שנית"
"Please enter less or equal than {0} symbols.","ניתן להזין עד {0} תווים ",module,Magento_Ui
Phone numbers should start with "05",מספר טלפון צריך להתחיל ב-05,module,Magento_Checkout
Phone numbers should start with "0",מספר טלפון צריך להתחיל ב-0,module,Magento_Checkout
"New Order Email", "אישור הזמנתך מאתר קפה עלית"
"Newsletter subscription success", "נרשמת בהצלחה לניוזלטר של קפה עלית"
"Forget Password HE","שכחת סיסמה? אל דאגה"
"new account -HE", "ברוך הבא לאתר קפה עלית"
"Cart","Cart"
"Method Title","משלוח"
"Price","עלות"
"Carrier Title","כותרת "
"Subscribe to the Hermes mailing list to receive updates on new arrivals, special offers and other discount information.","להתעדכן לפני כולם בהשקות החדשות, במבצעים החמים ובאירועים המיוחדים"
"Newsletter","הקפה עליכם, העדכונים עלינו!"
